payment_id,invoice_id,customer_id,payment_amount,payment_date,payment_method,status
PAY074,INV074,C074,9800,2026-08-14,UPI,Success
PAY075,INV075,C075,1200,2026-08-14,Card,Success
PAY076,INV076,C076,7400,2026-08-15,NetBanking,Success
PAY077,INV077,C077,1000,2026-08-02,NetBanking,Success
PAY078,INV078,C078,4800,2026-08-04,UPI,Success
PAY079,INV079,C079,2000,2026-08-18,UPI,Success
PAY080,INV080,C080,7200,2026-08-06,Card,Success
PAY081,INV081,C081,2500,2026-08-03,NetBanking,Success
PAY082,INV082,C082,1500,2026-08-02,UPI,Success
PAY083,INV083,C083,2500,2026-08-06,Card,Success
PAY084,INV084,C084,10000,2026-08-07,UPI,Success
PAY085,INV085,C085,2000,2026-08-13,Card,Success
PAY086,INV086,C086,3000,2026-08-15,Card,Success
PAY087,INV087,C087,10000,2026-08-05,Card,Success
PAY088,INV088,C088,2500,2026-08-02,NetBanking,Success
PAY094,INV094,C094,1500,2026-08-20,UPI,Success
PAY095,INV095,C095,2500,2026-08-13,UPI,Success
PAY096,INV096,C096,2500,2026-08-19,NetBanking,Success
PAY097,INV097,C097,1000,2026-08-20,UPI,Success
PAY098,INV073,C098,7500,2026-08-19,NetBanking,Success
PAY099,INV027,C099,5000,2026-08-09,NetBanking,Success
PAY100,INV034,C100,5000,2026-08-08,Card,Success
